Protocol timestamp, Sensor Distance0, Sensor Distance2
     15.047000,  -17.10197,  -4.43748
     15.047500,  -17.10197,  -4.48419
     15.048000,  -17.09963,  -4.52544
     15.048500,  -17.09496,  -4.57215
     15.049000,  -17.08757,  -4.62274
     15.049500,  -17.07784,  -4.66789
     15.050000,  -17.06577,  -4.71926
     15.050500,  -17.05137,  -4.76596
     15.051000,  -17.03425,  -4.81656
     15.051500,  -17.01479,  -4.86715
     15.052000,  -16.99299,  -4.91775
     15.052500,  -16.96886,  -4.97146
     15.053000,  -16.94240,  -5.02439
     15.053500,  -16.91321,  -5.07732
     15.054000,  -16.88168,  -5.13259
     15.054500,  -16.84783,  -5.18707
     15.055000,  -16.81163,  -5.24234
     15.055500,  -16.77271,  -5.29916
     15.056000,  -16.73146,  -5.35520
     15.056500,  -16.68748,  -5.41281
     15.057000,  -16.64116,  -5.46885
     15.057500,  -16.59212,  -5.52801
     15.058000,  -16.54075,  -5.58249
     15.058500,  -16.48704,  -5.64321
     15.059000,  -16.43100,  -5.70081
     15.059500,  -16.37223,  -5.76308
     15.060000,  -16.31113,  -5.82379
     15.060500,  -16.24808,  -5.88918
     15.061000,  -16.18230,  -5.95223
     15.061500,  -16.11458,  -6.01917
     15.062000,  -16.04453,  -6.08378
     15.062500,  -15.97214,  -6.15227
     15.063000,  -15.89741,  -6.21999
     15.063500,  -15.82074,  -6.29394
     15.064000,  -15.74212,  -6.36244
     15.064500,  -15.66156,  -6.43716
     15.065000,  -15.57905,  -6.50722
     15.065500,  -15.49421,  -6.58350
     15.066000,  -15.40781,  -6.65433
     15.066500,  -15.31907,  -6.72984
     15.067000,  -15.22800,  -6.80067
     15.067500,  -15.13537,  -6.87618
     15.068000,  -15.04041,  -6.94701
     15.068500,  -14.94350,  -7.02173
     15.069000,  -14.84503,  -7.09490
     15.069500,  -14.74423,  -7.17352
     15.070000,  -14.64148,  -7.24591
     15.070500,  -14.53679,  -7.32219
     15.071000,  -14.43015,  -7.40003
     15.071500,  -14.32196,  -7.47476
     15.072000,  -14.21181,  -7.55493
     15.072500,  -14.10011,  -7.62654
     15.073000,  -13.98686,  -7.70360
     15.073500,  -13.87166,  -7.78222
     15.074000,  -13.75529,  -7.86239
     15.074500,  -13.63736,  -7.94335
     15.075000,  -13.51788,  -8.02118
     15.075500,  -13.39684,  -8.09980
     15.076000,  -13.27463,  -8.18387
     15.076500,  -13.15087,  -8.26015
     15.077000,  -13.02594,  -8.33721
     15.077500,  -12.89945,  -8.41427
     15.078000,  -12.77179,  -8.49211
     15.078500,  -12.64297,  -8.57306
     15.079000,  -12.51298,  -8.65012
     15.079500,  -12.38182,  -8.73107
     15.080000,  -12.24950,  -8.81125
     15.080500,  -12.11600,  -8.89220
     15.081000,  -11.98134,  -8.97471
     15.081500,  -11.84551,  -9.05722
     15.082000,  -11.70891,  -9.13272
     15.082500,  -11.57152,  -9.21212
     15.083000,  -11.43258,  -9.28996
     15.083500,  -11.29286,  -9.37169
     15.084000,  -11.15236,  -9.44641
     15.084500,  -11.01069,  -9.52503
     15.085000,  -10.86825,  -9.59976
     15.085500,  -10.72502,  -9.67682
     15.086000,  -10.58102,  -9.74921
     15.086500,  -10.43585,  -9.82315
     15.087000,  -10.29029,  -9.89399
     15.087500,  -10.14435,  -9.96949
     15.088000,   -9.99762, -10.04032
     15.088500,   -9.85050, -10.11894
     15.089000,   -9.70300, -10.18977
     15.089500,   -9.55511, -10.26683
     15.090000,   -9.40682, -10.33611
     15.090500,   -9.25854, -10.40928
     15.091000,   -9.10948, -10.48011
     15.091500,   -8.96081, -10.55017
     15.092000,   -8.81136, -10.62334
     15.092500,   -8.66229, -10.69261
     15.093000,   -8.51284, -10.76422
     15.093500,   -8.36300, -10.83350
     15.094000,   -8.21355, -10.90823
     15.094500,   -8.06410, -10.98684
     15.095000,   -7.91426, -11.06702
     15.095500,   -7.76481, -11.14563
     15.096000,   -7.61536, -11.21647
     15.096500,   -7.46630, -11.28886
     15.097000,   -7.31685, -11.35658
     15.097500,   -7.16779, -11.42508
     15.098000,   -7.01912, -11.49124
     15.098500,   -6.87083, -11.55429
     15.099000,   -6.72294, -11.60955
     15.099500,   -6.57543, -11.68428
     15.100000,   -6.42871, -11.75044
     15.100500,   -6.28237, -11.81427
     15.101000,   -6.13681, -11.86720
     15.101500,   -5.99164, -11.91624
     15.102000,   -5.84725, -11.97929
     15.102500,   -5.70364, -12.01743
     15.103000,   -5.56081, -12.06180
     15.103500,   -5.41875, -12.10928
     15.104000,   -5.27747, -12.14353
     15.104500,   -5.13736, -12.18478
     15.105000,   -4.99764, -12.23460
     15.105500,   -4.85909, -12.26963
     15.106000,   -4.72170, -12.31010
     15.106500,   -4.58510, -12.35136
     15.107000,   -4.44966, -12.39417
     15.107500,   -4.31538, -12.42998
     15.108000,   -4.18189, -12.46889
     15.108500,   -4.04995, -12.51015
     15.109000,   -3.91918, -12.54907
     15.109500,   -3.78997, -12.58954
     15.110000,   -3.66193, -12.62846
     15.110500,   -3.53544, -12.66738
     15.111000,   -3.41012, -12.70630
     15.111500,   -3.28636, -12.74055
     15.112000,   -3.16454, -12.77791
     15.112500,   -3.04389, -12.81606
     15.113000,   -2.92479, -12.84641
     15.113500,   -2.80765, -12.87366
     15.114000,   -2.69206, -12.90090
     15.114500,   -2.57841, -12.93126
     15.115000,   -2.46632, -12.95694
     15.115500,   -2.35618, -12.98030
     15.116000,   -2.24799, -12.99898
     15.116500,   -2.14135, -13.01999
     15.117000,   -2.03704, -13.03945
