Protocoltimestamp,SensorDistance0,SensorDistance2
0.0445,12.23457,19.45788
0.045,12.23457,19.45788
0.0455,12.23457,19.45788
0.046,12.23457,19.45788
0.0465,12.23457,19.45788
0.047,12.23457,19.45788
0.0475,12.23457,19.45788
0.048,12.23457,19.45788
0.0485,12.23457,19.45788
0.049,12.23457,19.45788
0.0495,12.23457,19.45788
0.05,12.23457,19.45788
0.0505,12.23457,19.45788
0.051,12.23457,19.45788
0.0515,12.23457,19.45788
0.052,12.23457,19.45788
0.0525,12.23457,19.45788
0.053,12.23457,19.45788
0.0535,12.23457,19.45788
0.054,12.23457,19.45788
0.0545,12.23457,19.45788
0.055,12.23457,19.45788
0.0555,12.23457,19.45788
0.056,12.23457,19.45788
0.0565,12.23457,19.45788
0.057,12.23457,19.45788
0.0575,12.23457,19.45788
0.058,12.23457,19.45788
0.0585,12.23457,19.45788
0.059,12.23457,19.45788
0.0595,12.23457,19.45788
0.06,12.23457,19.45788
0.0605,12.23457,19.45788
0.061,12.23457,19.45788
0.0615,12.23457,19.45788
0.062,12.23457,19.45788
0.0625,12.23457,19.45788
0.063,12.23457,19.45788
0.0635,12.23457,19.45788
0.064,12.23457,19.45788
0.0645,12.23457,19.45788
0.065,12.23457,19.45788
0.0655,12.23457,19.45788
0.066,12.23457,19.45788
0.0665,12.23457,19.45788
0.067,12.23457,19.45788
0.0675,12.23457,19.45788
0.068,12.23457,19.45788
0.0685,12.23457,19.45788
0.069,12.23457,19.45788
0.0695,12.23457,19.45788
0.07,12.23457,19.45788
0.0705,12.23457,19.45788
0.071,12.23457,19.45788
0.0715,12.23457,19.45788
0.072,12.23457,19.45788
0.0725,12.23457,19.45788
0.073,12.23457,19.45788
0.0735,12.23457,19.45788
0.074,12.23457,19.45788
0.0745,12.23457,19.45788
0.075,12.23457,19.45788
0.0755,12.23457,19.45788
0.076,12.23457,19.45788
0.0765,12.23457,19.45788
0.077,12.23457,19.45788
0.0775,12.23457,19.45788
0.078,12.23457,19.45788
0.0785,12.23457,19.45788
0.079,12.23457,19.45788
0.0795,12.23457,19.45788
0.08,12.23457,19.45788
0.0805,12.23457,19.45788
0.081,12.23457,19.45788
0.0815,12.23457,19.45788
0.082,12.23457,19.45788
0.0825,12.23457,19.45788
0.083,12.23457,19.45788
0.0835,12.23457,19.45788
0.084,12.23457,19.45788
0.0845,12.23457,19.45788
0.085,12.23457,19.45788
0.0855,12.23457,19.45788
0.086,12.23457,19.45788
0.0865,12.23457,19.45788
0.087,12.23457,19.45788
0.0875,12.23457,19.45788
0.088,12.23457,19.45788
0.0885,12.23457,19.45788
0.089,12.23457,19.45788
0.0895,12.23457,19.45788
0.09,12.23457,19.45788
0.0905,12.23457,19.45788
0.091,12.23457,19.45788
0.0915,12.23457,19.45788
0.092,12.23457,19.45788
0.0925,12.23457,19.45788
0.093,12.23457,19.45788
0.0935,12.23457,19.45788
0.094,12.23457,19.45788
0.0945,12.23457,19.45788
0.095,12.23457,19.45788
0.0955,12.23457,19.45788
0.096,12.23457,19.45788
0.0965,12.23457,19.45788
0.097,12.23457,19.45788
0.0975,12.23457,19.45788
0.098,12.23457,19.45788
0.0985,12.23457,19.45788
0.099,12.23457,19.45788
0.0995,12.23457,19.45788
0.1,12.23457,19.45788
0.1005,12.23457,19.45788
0.101,12.23457,19.45788
0.1015,12.23457,19.45788
0.102,12.23457,19.45788
0.1025,12.23457,19.45788
0.103,12.23457,19.45788
0.1035,12.23457,19.45788
0.104,12.23457,19.45788
0.1045,12.23457,19.45788
0.105,12.23457,19.45788
0.1055,12.23457,19.45788
0.106,12.23457,19.45788
0.1065,12.23457,19.45788
0.107,12.23457,19.45788
0.1075,12.23457,19.45788
0.108,12.23457,19.45788
0.1085,12.23457,19.45788
0.109,12.23457,19.45788
0.1095,12.23457,19.45788
0.11,12.23457,19.45788
0.1105,12.23457,19.45788
0.111,12.23457,19.45788
0.1115,12.23457,19.45788
0.112,12.23457,19.45788
0.1125,12.23457,19.45788
0.113,12.23457,19.45788
0.1135,12.23457,19.45788
0.114,12.23457,19.45788
0.1145,12.23457,19.45788
0.115,12.23457,19.45788
0.1155,12.23457,19.45788
0.116,12.23457,19.45788
0.1165,12.23457,19.45788
0.117,12.23457,19.45788
0.1175,12.23457,19.45788
0.118,12.23457,19.4571
0.1185,12.23457,19.4571
0.119,12.23457,19.4571
0.1195,12.23457,19.45788
0.12,12.23457,19.4571
0.1205,12.23457,19.45788
0.121,12.23457,19.45788
0.1215,12.23457,19.45788
0.122,12.23457,19.45788
0.1225,12.23457,19.45788
0.123,12.23457,19.45788
0.1235,12.23457,19.45788
0.124,12.23457,19.4571
0.1245,12.23457,19.4571
0.125,12.23457,19.4571
0.1255,12.23457,19.4571
0.126,12.23457,19.45788
0.1265,12.23457,19.45788
0.127,12.23457,19.4571
0.1275,12.23457,19.45788
0.128,12.23457,19.45788
0.1285,12.23457,19.45788
0.129,12.23457,19.45788
0.1295,12.23457,19.45788
0.13,12.23457,19.45788
0.1305,12.23457,19.45788
0.131,12.23457,19.45788
0.1315,12.23457,19.45788
0.132,12.23457,19.45788
0.1325,12.23457,19.45788
0.133,12.23457,19.45788
0.1335,12.23457,19.45788
0.134,12.23457,19.45788
0.1345,12.23457,19.45788
0.135,12.23457,19.45788
0.1355,12.23457,19.45788
0.136,12.23457,19.45788
0.1365,12.23457,19.45788
0.137,12.23457,19.45788
0.1375,12.23457,19.45788
0.138,12.23457,19.45788
0.1385,12.23457,19.45788
0.139,12.23457,19.45788
0.1395,12.23457,19.45788
0.14,12.23457,19.45788
0.1405,12.23457,19.45788
0.141,12.23457,19.45788
0.1415,12.23457,19.45788
0.142,12.23457,19.45788
0.1425,12.23457,19.45788
0.143,12.23457,19.45788
0.1435,12.23457,19.45788
0.144,12.23457,19.45788
0.1445,12.23457,19.45788
0.145,12.23457,19.45788
0.1455,12.23457,19.45788
0.146,12.23457,19.45788
0.1465,12.23457,19.45788
0.147,12.23457,19.45788
0.1475,12.23457,19.45788
0.148,12.23457,19.45788
0.1485,12.23457,19.45788
0.149,12.23457,19.45788
0.1495,12.23457,19.45788
0.15,12.23457,19.45788
0.1505,12.23457,19.45788
0.151,12.23457,19.45788
0.1515,12.23457,19.45788
0.152,12.23457,19.45788
0.1525,12.23457,19.45788
0.153,12.23457,19.45788
0.1535,12.23457,19.45788
0.154,12.23457,19.45788
0.1545,12.23457,19.45788
0.155,12.23457,19.45788
0.1555,12.23457,19.45788
0.156,12.23457,19.45788
0.1565,12.23457,19.45788
0.157,12.23457,19.45788
0.1575,12.23457,19.45788
0.158,12.23457,19.45788
0.1585,12.23457,19.45788
0.159,12.23457,19.45788
0.1595,12.23457,19.45788
0.16,12.23457,19.45788
0.1605,12.23457,19.45788
0.161,12.23457,19.45788
0.1615,12.23457,19.45788
0.162,12.23457,19.45788
0.1625,12.23457,19.45788
0.163,12.23457,19.45788
0.1635,12.23457,19.45788
0.164,12.23457,19.45788
0.1645,12.23457,19.45788
0.165,12.23457,19.45788
0.1655,12.23457,19.45788
0.166,12.23457,19.45788
0.1665,12.23457,19.45788
0.167,12.23457,19.45788
0.1675,12.23457,19.45788
0.168,12.23457,19.45788
0.1685,12.23457,19.45788
0.169,12.23457,19.45788
0.1695,12.23457,19.45788
0.17,12.23457,19.45788
0.1705,12.23457,19.4571
0.171,12.23457,19.4571
0.1715,12.23457,19.45788
0.172,12.23457,19.45788
0.1725,12.23457,19.45788
0.173,12.23457,19.45788
0.1735,12.23457,19.45788
0.174,12.23457,19.45788
0.1745,12.23457,19.45788
0.175,12.23457,19.45788
0.1755,12.23457,19.45788
0.176,12.23457,19.45788
0.1765,12.23457,19.45788
0.177,12.23457,19.45788
0.1775,12.23457,19.45788
0.178,12.23457,19.45788
0.1785,12.23457,19.45788
0.179,12.23457,19.45788
0.1795,12.23457,19.45788
0.18,12.23457,19.45788
0.1805,12.23457,19.45788
0.181,12.23457,19.45788
0.1815,12.23457,19.45788
0.182,12.23457,19.45788
0.1825,12.23457,19.45788
0.183,12.23457,19.45788
0.1835,12.23457,19.45788
0.184,12.23457,19.45788
0.1845,12.23457,19.45788
0.185,12.23457,19.45788
0.1855,12.23457,19.45788
0.186,12.23457,19.45788
0.1865,12.23457,19.45788
0.187,12.23457,19.45788
0.1875,12.23457,19.45788
0.188,12.23457,19.45788
0.1885,12.23457,19.45788
0.189,12.23457,19.45788
0.1895,12.23457,19.45788
0.19,12.23457,19.45788
0.1905,12.23457,19.4571
0.191,12.23457,19.4571
0.1915,12.23457,19.4571
0.192,12.23457,19.4571
0.1925,12.23457,19.4571
0.193,12.23457,19.45788
0.1935,12.23457,19.4571
0.194,12.23457,19.4571
0.1945,12.23457,19.45788
0.195,12.23457,19.45788
0.1955,12.23457,19.45788
0.196,12.23457,19.45788
0.1965,12.23457,19.45788
0.197,12.23457,19.45788
0.1975,12.23457,19.45788
0.198,12.23457,19.45788
0.1985,12.23457,19.45788
0.199,12.23457,19.45788
0.1995,12.23457,19.45788
0.2,12.23457,19.45788
0.2005,12.23457,19.45788
0.201,12.23457,19.45788
0.2015,12.23457,19.45788
0.202,12.23457,19.45788
0.2025,12.23457,19.45788
0.203,12.23457,19.45788
0.2035,12.23457,19.45788
0.204,12.23457,19.45788
0.2045,12.23457,19.45788
0.205,12.23457,19.4571
0.2055,12.23457,19.4571
0.206,12.23457,19.4571
0.2065,12.23457,19.4571
0.207,12.23457,19.4571
0.2075,12.23457,19.4571
0.208,12.23457,19.4571
0.2085,12.23457,19.4571
0.209,12.23457,19.4571
0.2095,12.23457,19.45788
0.21,12.23457,19.45788
0.2105,12.23457,19.45788
0.211,12.23457,19.45788
0.2115,12.23457,19.45788
0.212,12.23457,19.45788
0.2125,12.23457,19.45788
0.213,12.23457,19.45788
0.2135,12.23457,19.45788
0.214,12.23457,19.45788
0.2145,12.23457,19.45788
0.215,12.23457,19.45788
0.2155,12.23457,19.45788
0.216,12.23457,19.45788
0.2165,12.23457,19.45788
0.217,12.23457,19.45788
0.2175,12.23457,19.45788
0.218,12.23457,19.45788
0.2185,12.23457,19.45788
0.219,12.23457,19.45788
0.2195,12.23457,19.45788
0.22,12.23457,19.45788
0.2205,12.23457,19.45788
0.221,12.23457,19.45788
0.2215,12.23457,19.45788
0.222,12.23457,19.45788
0.2225,12.23457,19.45788
0.223,12.23457,19.45788
0.2235,12.23457,19.45788
0.224,12.23457,19.45788
0.2245,12.23457,19.45788
0.225,12.23457,19.45788
0.2255,12.23457,19.45788
0.226,12.23457,19.45788
0.2265,12.23457,19.45788
0.227,12.23457,19.45788
0.2275,12.23457,19.45788
0.228,12.23457,19.45788
0.2285,12.23457,19.45788
0.229,12.23457,19.45788
0.2295,12.23457,19.45788
0.23,12.23457,19.45788
0.2305,12.23457,19.45788
0.231,12.23457,19.45788
0.2315,12.23457,19.45788
0.232,12.23457,19.45788
0.2325,12.23457,19.45788
0.233,12.23457,19.45788
0.2335,12.23457,19.45788
0.234,12.23457,19.45788
0.2345,12.23457,19.45788
0.235,12.23457,19.45788
0.2355,12.23457,19.45788
0.236,12.23457,19.45788
0.2365,12.23457,19.45788
0.237,12.23457,19.45788
0.2375,12.23457,19.45788
0.238,12.23457,19.45788
0.2385,12.23457,19.45788
0.239,12.23457,19.45788
0.2395,12.23457,19.45788
0.24,12.23457,19.45788
0.2405,12.23457,19.45788
0.241,12.23457,19.45788
0.2415,12.23457,19.45788
0.242,12.23457,19.45788
0.2425,12.23457,19.45788
0.243,12.23457,19.45788
0.2435,12.23457,19.45788
0.244,12.23457,19.45788
0.2445,12.23457,19.45788
0.245,12.23457,19.45788
0.2455,12.23457,19.45788
0.246,12.23457,19.45788
0.2465,12.23457,19.45788
0.247,12.23457,19.45788
0.2475,12.23457,19.45788
0.248,12.23457,19.45788
0.2485,12.23457,19.45788
0.249,12.23457,19.45788
0.2495,12.23457,19.45788
0.25,12.23457,19.45788
0.2505,12.23457,19.45788
0.251,12.23457,19.45788
0.2515,12.23457,19.45788
0.252,12.23457,19.45788
0.2525,12.23457,19.45788
0.253,12.23457,19.45788
0.2535,12.23457,19.45788
0.254,12.23457,19.45788
0.2545,12.23457,19.45788
0.255,12.23457,19.45788
0.2555,12.23457,19.45788
0.256,12.23457,19.45788
0.2565,12.23457,19.45788
0.257,12.23457,19.45788
0.2575,12.23457,19.45788
0.258,12.23457,19.45788
0.2585,12.23457,19.45788
0.259,12.23457,19.45788
0.2595,12.23457,19.45788
0.26,12.23457,19.45788
0.2605,12.23457,19.45788
0.261,12.23457,19.45788
0.2615,12.23457,19.45788
0.262,12.23457,19.45788
0.2625,12.23457,19.45788
0.263,12.23457,19.45788
0.2635,12.23457,19.45788
0.264,12.23457,19.45788
0.2645,12.23457,19.45788
0.265,12.23457,19.45788
0.2655,12.23457,19.45788
0.266,12.23457,19.45788
0.2665,12.23457,19.45788
0.267,12.23457,19.45788
0.2675,12.23457,19.45788
0.268,12.23457,19.45788
0.2685,12.23457,19.45788
0.269,12.23457,19.45788
0.2695,12.23457,19.45788
0.27,12.23457,19.45788
0.2705,12.23457,19.45788
0.271,12.23457,19.45788
0.2715,12.23457,19.45788
0.272,12.23457,19.45788
0.2725,12.23457,19.45788
0.273,12.23457,19.45788
0.2735,12.23457,19.45788
0.274,12.23457,19.45788
0.2745,12.23457,19.45788
0.275,12.23457,19.45788
0.2755,12.23457,19.45788
0.276,12.23457,19.45788
0.2765,12.23457,19.45788
0.277,12.23457,19.45788
0.2775,12.23457,19.45788
0.278,12.23457,19.45788
0.2785,12.23457,19.45788
0.279,12.23457,19.45788
0.2795,12.23457,19.45788
0.28,12.23457,19.45788
0.2805,12.23457,19.45788
0.281,12.23457,19.45788
0.2815,12.23457,19.45788
0.282,12.23457,19.45788
0.2825,12.23457,19.45788
0.283,12.23457,19.45788
0.2835,12.23457,19.45788
0.284,12.23457,19.45788
0.2845,12.23457,19.45788
0.285,12.23457,19.45788
0.2855,12.23457,19.45788
0.286,12.23457,19.45788
0.2865,12.23457,19.45788
0.287,12.23457,19.45788
0.2875,12.23457,19.45788
0.288,12.23457,19.45788
0.2885,12.23457,19.45788
0.289,12.23457,19.45788
0.2895,12.23457,19.45788
0.29,12.23457,19.45788
0.2905,12.23457,19.45788
0.291,12.23457,19.45788
0.2915,12.23457,19.45788
0.292,12.23457,19.45788
0.2925,12.23457,19.45788
0.293,12.23457,19.45788
0.2935,12.23457,19.45788
0.294,12.23457,19.45788
0.2945,12.23457,19.45788
0.295,12.23457,19.45788
0.2955,12.23457,19.45788
0.296,12.23457,19.45788
0.2965,12.23457,19.45788
0.297,12.23457,19.45788
0.2975,12.23457,19.45788
0.298,12.23457,19.45788
0.2985,12.23457,19.45788
0.299,12.23457,19.45788
0.2995,12.23457,19.45788
0.3,12.23457,19.45788
0.3005,12.23457,19.45788
0.301,12.23457,19.45788
0.3015,12.23457,19.45788
0.302,12.23457,19.45788
0.3025,12.23457,19.45788
0.303,12.23457,19.45788
0.3035,12.23457,19.45788
0.304,12.23457,19.45788
0.3045,12.23457,19.45788
0.305,12.23457,19.45788
0.3055,12.23457,19.45788
0.306,12.23418,19.45788
0.3065,12.23457,19.45788
0.307,12.23457,19.45788
0.3075,12.23457,19.45788
0.308,12.23457,19.45788
0.3085,12.23457,19.45788
0.309,12.23457,19.45788
0.3095,12.23457,19.45788
0.31,12.23457,19.45788
0.3105,12.23457,19.45788
0.311,12.23457,19.45788
0.3115,12.23457,19.45788
0.312,12.23457,19.45788
0.3125,12.23457,19.45788
0.313,12.23457,19.45788
0.3135,12.23457,19.45788
0.314,12.23457,19.45788
0.3145,12.23457,19.45788
0.315,12.23457,19.45788
0.3155,12.23457,19.45788
0.316,12.23457,19.45788
0.3165,12.23457,19.45788
0.317,12.23457,19.45788
0.3175,12.23457,19.45788
0.318,12.23457,19.45788
0.3185,12.23457,19.45788
0.319,12.23457,19.45788
0.3195,12.23457,19.45788
0.32,12.23457,19.45788
0.3205,12.23457,19.45788
0.321,12.23457,19.45788
0.3215,12.23457,19.45788
0.322,12.23457,19.45788
0.3225,12.23457,19.45788
0.323,12.23457,19.45788
0.3235,12.23457,19.45788
0.324,12.23457,19.45788
0.3245,12.23457,19.45788
0.325,12.23457,19.45788
0.3255,12.23457,19.45788
0.326,12.23457,19.45788
0.3265,12.23457,19.45788
0.327,12.23457,19.45788
0.3275,12.23457,19.45788
0.328,12.23457,19.45788
0.3285,12.23457,19.45788
0.329,12.23457,19.45788
0.3295,12.23457,19.45788
0.33,12.23457,19.45788
0.3305,12.23457,19.45788
0.331,12.23457,19.45788
0.3315,12.23457,19.45788
0.332,12.23457,19.45788
0.3325,12.23457,19.45788
0.333,12.23457,19.45788
0.3335,12.23457,19.45788
0.334,12.23457,19.45788
0.3345,12.23457,19.45788
0.335,12.23457,19.45788
0.3355,12.23457,19.45788
0.336,12.23457,19.45788
0.3365,12.23457,19.45788
0.337,12.23457,19.45788
0.3375,12.23457,19.45788
0.338,12.23457,19.45788
0.3385,12.23457,19.45788
0.339,12.23457,19.45788
0.3395,12.23457,19.45788
0.34,12.23457,19.45788
0.3405,12.23457,19.45788
0.341,12.23457,19.45788
0.3415,12.23457,19.45788
0.342,12.23457,19.45788
0.3425,12.23457,19.45788
0.343,12.23457,19.45788
0.3435,12.23457,19.45788
0.344,12.23457,19.45788
0.3445,12.23457,19.45788
0.345,12.23457,19.45788
0.3455,12.23457,19.45788
0.346,12.23457,19.45788
0.3465,12.23457,19.45788
0.347,12.23457,19.45788
0.3475,12.23457,19.45788
0.348,12.23457,19.45788
0.3485,12.23457,19.45788
0.349,12.23457,19.45788
0.3495,12.23457,19.45788
0.35,12.23457,19.45788
0.3505,12.23457,19.45788
0.351,12.23457,19.45788
0.3515,12.23457,19.45788
0.352,12.23457,19.45788
0.3525,12.23457,19.45788
0.353,12.23457,19.45788
0.3535,12.23457,19.45788
0.354,12.23457,19.45788
0.3545,12.23457,19.45788
0.355,12.23457,19.45788
0.3555,12.23457,19.45788
0.356,12.23457,19.45788
0.3565,12.23457,19.45788
0.357,12.23457,19.45788
0.3575,12.23457,19.45788
0.358,12.23457,19.45788
0.3585,12.23457,19.45788
0.359,12.23457,19.45788
0.3595,12.23457,19.45788
0.36,12.23457,19.45788
0.3605,12.23457,19.45788
0.361,12.23457,19.45788
0.3615,12.23457,19.45788
0.362,12.23457,19.45788
0.3625,12.23457,19.45788
0.363,12.23457,19.45788
0.3635,12.23457,19.45788
0.364,12.23457,19.45788
0.3645,12.23457,19.45788
0.365,12.23457,19.45788
0.3655,12.23457,19.45788
0.366,12.23457,19.45788
0.3665,12.23457,19.45788
0.367,12.23457,19.45788
0.3675,12.23457,19.45788
0.368,12.23457,19.45788
0.3685,12.23457,19.45788
0.369,12.23457,19.45788
0.3695,12.23457,19.45788
0.37,12.23457,19.45788
0.3705,12.23457,19.45788
0.371,12.23457,19.45788
0.3715,12.23457,19.45788
0.372,12.23457,19.45788
0.3725,12.23457,19.45788
0.373,12.23457,19.45788
0.3735,12.23457,19.45788
0.374,12.23457,19.45788
0.3745,12.23457,19.45788
0.375,12.23457,19.45788
0.3755,12.23457,19.45788
0.376,12.23457,19.45788
0.3765,12.23457,19.45788
0.377,12.23457,19.45788
0.3775,12.23457,19.45788
0.378,12.23457,19.45788
0.3785,12.23457,19.45788
0.379,12.23457,19.45788
0.3795,12.23457,19.45788
0.38,12.23457,19.45788
0.3805,12.23457,19.45788
0.381,12.23457,19.45788
0.3815,12.23457,19.45788
0.382,12.23457,19.45788
0.3825,12.23457,19.45788
0.383,12.23457,19.45788
0.3835,12.23457,19.45788
0.384,12.23457,19.45788
0.3845,12.23457,19.45788
0.385,12.23457,19.45788
0.3855,12.23457,19.45788
0.386,12.23457,19.45788
0.3865,12.23457,19.45788
0.387,12.23457,19.45788
0.3875,12.23457,19.45788
0.388,12.23457,19.45788
0.3885,12.23457,19.45788
0.389,12.23457,19.45788
0.3895,12.23457,19.45788
0.39,12.23457,19.45788
0.3905,12.23457,19.45788
0.391,12.23457,19.45788
0.3915,12.23457,19.45788
0.392,12.23457,19.45788
0.3925,12.23457,19.45788
0.393,12.23457,19.45788
0.3935,12.23457,19.45788
0.394,12.23457,19.45788
0.3945,12.23457,19.45788
0.395,12.23457,19.45788
0.3955,12.23457,19.45788
0.396,12.23457,19.45788
0.3965,12.23457,19.45788
0.397,12.23457,19.45788
0.3975,12.23457,19.45788
0.398,12.23457,19.45788
0.3985,12.23457,19.45788
0.399,12.23457,19.45788
0.3995,12.23457,19.45788
0.4,12.23457,19.45788
0.4005,12.23457,19.45788
0.401,12.23457,19.45788
0.4015,12.23457,19.45788
0.402,12.23457,19.45788
0.4025,12.23457,19.45788
0.403,12.23457,19.45788
0.4035,12.23457,19.45788
0.404,12.23457,19.45788
0.4045,12.23457,19.45788
0.405,12.23457,19.45788
0.4055,12.23457,19.45788
0.406,12.23457,19.45788
0.4065,12.23457,19.45788
0.407,12.23457,19.45788
0.4075,12.23457,19.45788
0.408,12.23457,19.45788
0.4085,12.23457,19.45788
0.409,12.23457,19.45788
0.4095,12.23457,19.45788
0.41,12.23457,19.45788
0.4105,12.23457,19.45788
0.411,12.23457,19.45788
0.4115,12.23457,19.45788
0.412,12.23457,19.45788
0.4125,12.23457,19.45788
0.413,12.23457,19.45788
0.4135,12.23457,19.45788
0.414,12.23457,19.45788
0.4145,12.23457,19.45788
0.415,12.23457,19.45788
0.4155,12.23457,19.45788
0.416,12.23457,19.45788
0.4165,12.23457,19.45788
0.417,12.23457,19.45788
0.4175,12.23457,19.45788
0.418,12.23457,19.45788
0.4185,12.23457,19.45788
0.419,12.23457,19.45788
0.4195,12.23457,19.45788
0.42,12.23457,19.45788
0.4205,12.23457,19.45788
0.421,12.23457,19.45788
0.4215,12.23457,19.45788
0.422,12.23457,19.45788
0.4225,12.23457,19.45788
0.423,12.23457,19.45788
0.4235,12.23457,19.45788
0.424,12.23457,19.45788
0.4245,12.23457,19.45788
0.425,12.23457,19.45788
0.4255,12.23457,19.45788
0.426,12.23457,19.45788
0.4265,12.23457,19.45788
0.427,12.23457,19.45788
0.4275,12.23457,19.45788
0.428,12.23457,19.45788
0.4285,12.23457,19.45788
0.429,12.23457,19.45788
0.4295,12.23457,19.45788
0.43,12.23457,19.45788
0.4305,12.23457,19.45788
0.431,12.23457,19.45788
0.4315,12.23457,19.45788
0.432,12.23457,19.45788
0.4325,12.23457,19.45788
0.433,12.23457,19.45788
0.4335,12.23457,19.45788
0.434,12.23457,19.45788
0.4345,12.23457,19.45788
0.435,12.23457,19.45788
0.4355,12.23457,19.45788
0.436,12.23457,19.45788
0.4365,12.23457,19.45788
0.437,12.23457,19.45788
0.4375,12.23457,19.45788
0.438,12.23457,19.45788
0.4385,12.23457,19.45788
0.439,12.23457,19.45788
0.4395,12.23457,19.45788
0.44,12.23457,19.45788
0.4405,12.23457,19.45788
0.441,12.23457,19.45788
0.4415,12.23457,19.45788
0.442,12.23457,19.45788
0.4425,12.23457,19.45788
0.443,12.23457,19.45788
0.4435,12.23457,19.45788
0.444,12.23457,19.45788
0.4445,12.23457,19.45788
0.445,12.23457,19.45788
0.4455,12.23457,19.45788
0.446,12.23457,19.45788
0.4465,12.23457,19.45788
0.447,12.23457,19.45788
0.4475,12.23457,19.45788
0.448,12.23457,19.45788
0.4485,12.23457,19.45788
0.449,12.23457,19.45788
0.4495,12.23457,19.45788
0.45,12.23457,19.45788
0.4505,12.23457,19.45788
0.451,12.23457,19.45788
0.4515,12.23457,19.45788
0.452,12.23457,19.45788
0.4525,12.23457,19.45788
0.453,12.23457,19.45788
0.4535,12.23457,19.45788
0.454,12.23457,19.45788
0.4545,12.23457,19.45788
0.455,12.23457,19.45788
0.4555,12.23457,19.45788
0.456,12.23457,19.45788
0.4565,12.23457,19.45788
0.457,12.23457,19.45788
0.4575,12.23457,19.45788
0.458,12.23457,19.45788
0.4585,12.23457,19.45788
0.459,12.23457,19.45788
0.4595,12.23457,19.45788
0.46,12.23457,19.45788
0.4605,12.23457,19.45788
0.461,12.23457,19.45788
0.4615,12.23457,19.45788
0.462,12.23457,19.45788
0.4625,12.23457,19.45788
0.463,12.23457,19.45788
0.4635,12.23418,19.45788
0.464,12.23418,19.45788
0.4645,12.23418,19.45788
0.465,12.23418,19.45788
0.4655,12.23418,19.45788
0.466,12.23457,19.45788
0.4665,12.23457,19.45788
0.467,12.23457,19.45788
0.4675,12.23457,19.45788
0.468,12.23457,19.45788
0.4685,12.23457,19.45788
0.469,12.23457,19.45788
0.4695,12.23457,19.45788
0.47,12.23457,19.45788
0.4705,12.23457,19.45788
0.471,12.23457,19.45788
0.4715,12.23457,19.45788
0.472,12.23457,19.45788
0.4725,12.23457,19.45788
0.473,12.23457,19.45788
0.4735,12.23457,19.45788
0.474,12.23457,19.45788
0.4745,12.23457,19.45788
0.475,12.23457,19.45788
0.4755,12.23457,19.45788
0.476,12.23457,19.45788
0.4765,12.23457,19.45788
0.477,12.23457,19.45788
0.4775,12.23457,19.45788
0.478,12.23457,19.45788
0.4785,12.23457,19.45788
0.479,12.23457,19.45788
0.4795,12.23457,19.45788
0.48,12.23457,19.45788
