Protocoltimestamp,SensorDistance0,SensorDistance2
0.999999,12.23457,19.45788
0.0005,12.23457,19.45788
0.001,12.23457,19.45788
0.0015,12.23457,19.45788
0.002,12.23457,19.45788
0.0025,12.23457,19.45788
0.003,12.23457,19.45788
0.0035,12.23457,19.45788
0.004,12.23457,19.45788
0.0045,12.23457,19.45788
0.005,12.23457,19.45788
0.0055,12.23457,19.45788
0.006,12.23457,19.45788
0.0065,12.23457,19.45788
0.007,12.23457,19.45788
0.0075,12.23457,19.45788
0.008,12.23457,19.45788
0.0085,12.23457,19.45788
0.009,12.23457,19.45788
0.0095,12.23457,19.45788
0.01,12.23457,19.45788
0.0105,12.23457,19.45788
0.011,12.23457,19.45788
0.0115,12.23457,19.45788
0.012,12.23457,19.45788
0.0125,12.23457,19.45788
0.013,12.23457,19.45788
0.0135,12.23457,19.45788
0.014,12.23457,19.45788
0.0145,12.23457,19.45788
0.015,12.23457,19.45788
0.0155,12.23457,19.45788
0.016,12.23457,19.45788
0.0165,12.23457,19.45788
0.017,12.23457,19.45788
0.0175,12.23457,19.45788
0.018,12.23457,19.45788
0.0185,12.23457,19.45788
0.019,12.23457,19.45788
0.0195,12.23457,19.45788
0.02,12.23457,19.45788
0.0205,12.23457,19.45788
0.021,12.23457,19.45788
0.0215,12.23457,19.45788
0.022,12.23457,19.45788
0.0225,12.23457,19.45788
0.023,12.23457,19.45788
0.0235,12.23457,19.45788
0.024,12.23457,19.45788
0.0245,12.23457,19.45788
0.025,12.23457,19.45788
0.0255,12.23457,19.45788
0.026,12.23457,19.45788
0.0265,12.23457,19.45788
0.027,12.23457,19.45788
0.0275,12.23457,19.45788
0.028,12.23457,19.45788
0.0285,12.23457,19.45788
0.029,12.23457,19.45788
0.0295,12.23457,19.45788
0.03,12.23457,19.45788
0.0305,12.23457,19.45788
0.031,12.23457,19.45788
0.0315,12.23457,19.45788
0.032,12.23457,19.45788
0.0325,12.23457,19.45788
0.033,12.23457,19.45788
0.0335,12.23457,19.45788
0.034,12.23457,19.45788
0.0345,12.23457,19.45788
0.035,12.23457,19.45788
0.0355,12.23457,19.45788
0.036,12.23457,19.45788
0.0365,12.23457,19.45788
0.037,12.23457,19.45788
0.0375,12.23457,19.45788
0.038,12.23457,19.45788
0.0385,12.23457,19.45788
0.039,12.23457,19.45788
0.0395,12.23457,19.45788
0.04,12.23457,19.45788
0.0405,12.23457,19.45788
0.041,12.23457,19.45788
0.0415,12.23457,19.45788
0.042,12.23457,19.45788
0.0425,12.23457,19.45788
0.043,12.23457,19.45788
0.0435,12.23457,19.45788
0.044,12.23457,19.45788
